,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
288,מסעדת סלימי,מסעדה (ללא הכנת דגים וללא אפיה),מזון,נחלת בנימין 80 ,"מסעדה (ללא הכנת דגים וללא אפיה),","(32.06005, 34.772445)"
292,פלאפל ג'ינה,"בית אוכל  להכנה  , הגשת ומכירת פלאפל , צ'יפס, הכנה והגשת שניצלים סלטים מירקות טריים ( הגשה בכלים חד פעמיים).",מזון,העמל 10 ,"בית אוכל  להכנה  , הגשת ומכירת פלאפל , צ'יפס, הכנה והגשת שניצלים סלטים מירקות טריים ( הגשה בכלים חד פעמיים).,אפיית פיתות עם הכנת בצק במקום מקמח באריזות  1 ק""ג  , הכנתן לצריכת במקום בלבד,","(32.052474, 34.772028)"
293,שווארמה שיינקין,"הכנה ומכירת שווארמה ,משקאות קלים,סלטים וצ'יפס לרבות צריכת משקאות משכרים במקום .",מזון,אלנבי 49 ,"הכנה ומכירת שווארמה ,משקאות קלים,סלטים וצ'יפס לרבות צריכת משקאות משכרים במקום .,","(32.07008, 34.77056)"
294,בית הקרפיון,מכירת דגים שאינם קפואים. ודגים חיים ( טריים),מזון,גורי ישראל 34 ,"מכירת דגים שאינם קפואים. ודגים חיים ( טריים),מכירת דגים  קפואים.,","(32.0471562, 34.7808537)"
303,מוסך אם הדרך ו.ו. 2002 בע,"התקנת אביזרים בכלי הרכב,לרבות מערכות קול ואזעקה.",רכב ותחבורה,"ריב""ל 41 ","התקנת אביזרים בכלי הרכב,לרבות מערכות קול ואזעקה.,מכירת חלקי חילוף משומשים לרכב,","(32.062656, 34.784641)"
305,מספרת גאולה,מספרה לגברות,"בריאות, רוקחות, קוסמטיקה",מרגולין 11 ,"מספרה לגברות,פדיקור ומניקור.,","(32.058726, 34.789718)"
307,ביו אורגניק,מספרה.,"בריאות, רוקחות, קוסמטיקה",בוגרשוב 70 ,"מספרה.,","(32.0753106, 34.7727782)"
310,"מתנ""ס נוה עופר אולם ספורט","אולם ספורט - תחרויות ספורט בנוכחות קהל, 120 מקומות ישיבה ביציע ו364  בפרקט.",עינוג ציבורי כללי,"שז""ר זלמן 37 ","אולם ספורט - תחרויות ספורט בנוכחות קהל, 120 מקומות ישיבה ביציע ו364  בפרקט.,הצגת מחזות ומופעי בידור.,","(32.4353872, 34.9118045)"
313,ויקטורי,מכירת בשר עוף שאינו קפוא.,מזון,דיזנגוף 224 ,"סופרמרקט (מכלת + מכירת מצרכי מזון קפואים - בשר, עופות, דגים, בצקים,ירקות קפואים ).לרבותצ טיפול במזון,מכירת בשר עוף שאינו קפוא.,","(32.088726, 34.775576)"
315,מלון מטרופליטן,7.1 א - בית מלון שמספר החדרים מ- 100 ומעלה.,עינוג ציבורי כללי,טרומפלדור 11 ,"בית מלון(228 חדרים),","(32.0756, 34.767427)"
316,מ.מטרופוליטן-בריכת שחייה,בריכת שחיה.,עינוג ציבורי כללי,טרומפלדור 11 ,"בריכת שחיה.,","(32.0756, 34.767427)"
317,מ. מטרופוליטן-חניון,"חניון במבנה ששטחו 1280 מ""ר ל-43 כלי רכב.",רכב ותחבורה,טרומפלדור 11 ,"חניון במבנה ששטחו 1280 מ""ר ל-43 כלי רכב.,","(32.0756, 34.767427)"
326,גילת מערכות תקשורת  - ג-ד,ייצור מכשירי אלקטרוניקה,מסחר ושונות,הברזל 24א,"ייצור מכשירי אלקטרוניקה,","(32.108761, 34.839932)"
333,אולגה ביוטי,"1.4א - טיפול יופי וקוסמטיקה, פדיקור מניקור, מכון שיזוף
","בריאות, רוקחות, קוסמטיקה",אבן גבירול 155 ,"טיפול יופי קוסמטיקה, פדיקור מניקור, והרחקת שיער.,","(32.091181, 34.782453)"
337,הטורקיה ןהכבש,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
",מזון,אבן גבירול 92 ,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
,","(32.08286, 34.781496)"
338, מודו פאשן סלון,מספרה.,"בריאות, רוקחות, קוסמטיקה",ירמיהו 16 ,"מספרה.,","(31.7932032, 35.2137788)"
339,מכלת יצחק,מכירת מצרכי מזון בלבד,מזון,נוה שאנן 35 ,"מכירת מצרכי מזון בלבד,","(31.7719408, 35.2009251)"
342,ררר,בית דפוס,"תעשיה, כימיה, מחצב",בן אביגדור 28 ,"בית דפוס,","(32.06682, 34.790849)"
343,אניטה,"4.2ב - מזנון, בית אוכל אחר למכירת גלידה לרבות משלוחים, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,פלורנטין 3 ,"בית אוכל להכנה והגשת גלידה / יוגורט, קפה / תה + הכנת קרפ מתערובת מוכנה ממקור מאושר כחוק ההגשה בכלים חד פעמיים.,4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,","(32.055353, 34.7662431)"
353,פטיט פוד,"מסעדת דגים + אפיה מבצק מוכן ומוקפא ממקור מאושר- לרבות צריכת משקאות משכרים במקום + משלוחים עד 50 מנות ביום ע""י קטנועים.",מזון,פרנקל ידידיה 70 ,"מסעדת דגים + אפיה מבצק מוכן ומוקפא ממקור מאושר- לרבות צריכת משקאות משכרים במקום + משלוחים עד 50 מנות ביום ע""י קטנועים.,","(32.056556, 34.773434)"
354,רשות הדואר בלדרות מאובטחת,הובלת כספים ודברי ערך,רכב ותחבורה,ההגנה 137 ,"הובלת כספים ודברי ערך,כלי נשק ותחמושת -  אחסנתם.,","(32.05443, 34.803379)"
355,בוסתן,"מקום אחר למכירת מזון- קיוסק למכירת ממתקים, שלגונים, סיגריות, מכירת פירות יבשים, פיצוחים, תבלינים, דברי מאפה באריזות סגורות, גלידה, משקאות קלים ומשקאות משכרים ללא צריכה במקום.",מזון,המלך ג'ורג' 49 ,"מקום אחר למכירת מזון- קיוסק למכירת ממתקים, שלגונים, סיגריות, מכירת פירות יבשים, פיצוחים, תבלינים, דברי מאפה באריזות סגורות, גלידה, משקאות קלים ומשקאות משכרים ללא צריכה במקום.,","(32.073906, 34.775112)"
357,קיוסק,מכירת משקאות קלים וממתקים,מזון,חנוך 64 ,"מכירת משקאות קלים וממתקים,","(32.051411, 34.791365)"
360,חומוס אשכרה,"4.2ב - מזנון,בית אוכל אחר לרבות משלוחי מזון ולרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,ירמיהו 45 ,"בית אוכל להכנת והגשת טחינה,חומוס, פול,פלאפל וצ'יפס סלטים  מירקות טריים+ הגשת משקאות קלים, לרבות משקאות משכרים לצריכה במקום.,","(31.7895262, 35.2004231)"
363,מ.ג.א.,ייצור דברי הלבשה.,"תעשיה, כימיה, מחצב",יפו 7 ,"ייצור דברי הלבשה.,","(32.074783, 34.767181)"
368,דינמומטר,מוסך,רכב ותחבורה,חרוץ 2 ,"מוסך,","(None, None)"
370,סלון בבר,מספרה.,"בריאות, רוקחות, קוסמטיקה",מעפילי אגוז 59 ,"מספרה.,","(32.053051, 34.810238)"
371,המדיד,השחזה עיבוד שבבי,"תעשיה, כימיה, מחצב",המפעל 4 ,"השחזה עיבוד שבבי,","(32.9234246, 35.0793225)"
373,דפוס פדרבוש,בית דפוס.,"תעשיה, כימיה, מחצב",גולומב 52 ,"בית דפוס.,","(32.053323, 34.782856)"
374,4 בריכות שחייה,"7.4 א - בריכת שחיה.לרבות מאגר מים אחר המשמש לשחייה ולנופש מים , לרבות בריכה המצוייה בפארק מים ולמעט בריכה המשמשת עד ארבע יחדות אירוח למטרות נופש.",עינוג ציבורי כללי,"אוניברסיטת ת""א 262 ","4  בריכות שחיה.,שתי ג'אקוזי.,","(None, None)"
375,המיצים של שינקין,הכנת ומכירת מיצים טבעיים ללא ישיבה במקום.,מזון,אבן גבירול 82 ,"הכנת ומכירת מיצים טבעיים ללא ישיבה במקום.,","(32.081884, 34.781483)"
380, וידר (יוניק),מכ כלי יריה ותחמושת,שרותי שמירה ואבטחה,העליה 34 ,"מכ כלי יריה ותחמושת,","(49.1840728, -2.1036282)"
382,מספרה,מספרה לגברים וגברות,"בריאות, רוקחות, קוסמטיקה",השלום 71 ,"מספרה לגברים וגברות,סלון לפדיקור ומניקור,","(32.065859, 34.803094)"
384,דגי חמד,אטליז- מכירת דגים מצוננים,מזון,חבשוש חיים 40 ,"אטליז- מכירת דגים מצוננים,מקום לממכר דגים קפואים,","(32.068273, 34.767978)"
385,מעדני דניאל,מכירת גבינות        (במשקל),מזון,הא באייר 10 ,"מכירת גבינות        (במשקל),מכירת מצרכי מזון ונקניק ומשקאות משכרים שלא לצריכה במקום,מכירת דברי מאפה,מכירת כריכים,","(32.086108, 34.788351)"
387,"שופרסל בע""מ",4.7 ב - מינימרקט (מכלת + מכירת מוצרי מזון קפואים).,מזון,דיזנגוף 279 ,"מינימרקט-מכלת + מכירת עופות, בשר ובצקים קפואים.,,מכירת פירות וירקות.,4.2ג - הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' - אפיית דברי מאפה מבצק מוכן ומוקפא

,","(32.095554, 34.776043)"
390,Tatiyana Neils,"1.4א - פדיקור מניקור
","בריאות, רוקחות, קוסמטיקה",בן יהודה 26 ,"1.4א - פדיקור מניקור
,1.4א - טיפול יופי וקוסמטיקה
,","(31.7812704, 35.2165616)"
391,אלה אקספרס,"טיפול יופי קוסמטיקה, והרחקת שיער.","בריאות, רוקחות, קוסמטיקה",מרמורק 28 ,"טיפול יופי קוסמטיקה, והרחקת שיער.,פדיקור ומניקור.,","(32.071078, 34.781481)"
392,הרועה בשושנים בע''מ,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,רוטשילד 35 ,"מסעדה+ דגים ופירות ים נקיים ממקור מאושר ללא אפיה-לרבות צריכת משקאות משכרים במקום+משלוחים עד 3 קטנועים לרבות taKe away,","(31.9638663, 34.8021001)"
393,מאפיית שמואלי,אפיית עוגות,מזון,מזרחי 25 ,"אפיית עוגות,","(32.058515, 34.769559)"
395,המכולת של אריק,מכלת,מזון,נגבה 36 ,"מכלת,","(32.054014, 34.798961)"
396,אופיק קהלני,מספרה.,"בריאות, רוקחות, קוסמטיקה",עמק ברכה 50 ,"מספרה.,פדיקור ומניקור.,מכון יופי.,","(32.075359, 34.800987)"
397,מסעדת טנדורי,מסעדה-לרבות צריכת משקאות משכרים במקום,מזון,זמנהוף 2 ,"מסעדה-לרבות צריכת משקאות משכרים במקום,","(32.0216365, 34.7687367)"
399,נמני ששון,מכירת בשר בקר טרי.,מזון,יום טוב 10 ,"מכירת בשר בקר טרי.,","(32.068174, 34.767711)"
400,מוסך רמת החייל,"מוסך למכונאות רכב כללית (ששיטחו מעל 800 מ""ר).",רכב ותחבורה,הברזל 13 ,"מוסך למכונאות רכב כללית (ששיטחו מעל 800 מ""ר).,מוסך לפחחות וצביעת רכב.,מוסך לחשמלאות רכב.,","(32.107696, 34.837211)"
401,מרכז קהילתי איילון,אולם למופעי ספורט בנוכחות קהל עד 490 איש,עינוג ציבורי כללי,נחלת יצחק 35 ,"אולם למופעי ספורט בנוכחות קהל עד 490 איש,מקום לעריכת מופעים,","(32.074452, 34.800297)"
